"Geregistreerde diefstallen; diefstallen en verdachten, regio",,,
Gebruik van Geweld: Alle diefstallen,,,
Perioden: 2019*,,,
Onderwerp: |Totaal geregistreerde diefstallen,,,
,Regio's,,
,Nederland,Almere,Groningen (gemeente)
Soort diefstal,aantal,aantal,aantal
Alle diefstallen,374160,4525,6825
Diefstal van fiets,66690,425,1775
Diefstal van bromfiets/snorfiets,15590,280,410
Diefstal van motor/scooter,1975,30,15
Diefstal van personenauto,7085,115,30
Diefstal van vervoermiddel (overig),3465,25,15
Diefstal van vaartuig,475,10,5
Diefstal uit/vanaf personenauto,48995,580,490
Diefstal uit/vanaf vervoermiddel(overig),14935,155,90
Diefstal uit/vanaf vaartuig,1120,50,10
Diefstal van dier,140,0,0
Straatroof,3835,100,55
Zakkenrollerij,13375,75,265
Totaal diefstal uit woning/schuur/e.d.,51740,760,840
Diefstal/inbraak uit woning,39480,675,655
Diefstal/inbraak uit schuur/garage/e.d,12260,85,185
Winkeldiefstal,39800,775,930
Diefstal/inbraak uit winkel/bedrijf/e.d.,14810,205,245
Diefstal/inbraak uit hotel/pension,990,0,5
Diefstal/inbraak uit school,1630,25,30
Diefstal/inbraak uit sportcomplex,2220,25,80
Diefstal/inbraak uit defensiecomplex,220,0,0
Diefstal/inbraak uit gebouw (overig),3730,35,75
Overval,1180,20,30
Diefstal en inbraak (overig),80165,830,1425
Bron: CBS,,,
